variable,descripcion,tipo_variable,razon_clinica,recomendacion_ml,,,
ANEMIA5,Historial o presencia de anemia diagnosticada en la visita 05,binaria,Variable dicotmica (S/No) que representa una condicin mdica ausente o presente.,mantener numrica,,,
DIABETE5,Historial o presencia de diabetes diagnosticada en la visita 05,binaria,Variable dicotomica (Si/No) que representa una condicion medica ausente o presente.,mantener numerica,,,
HIGHBP5,Historial o presencia de hipertension arterial diagnosticada en la visita 05,binaria,Variable dicotomica (Si/No) que representa una condicion medica ausente o presente.,mantener numerica,,,
HBCHOLE5,Historial o presencia de colesterol alto diagnosticado en la visita 05,binaria,Variable dicotomica (Si/No) que representa una condicion medica ausente o presente.,mantener numerica,,,
MIGRAIN5,Historial o presencia de migranas diagnosticadas en la visita 05,binaria,Variable dicotomica (Si/No) que representa una condicion medica ausente o presente.,mantener numerica,,,
OSTEOAR5,Historial o presencia de osteoartritis diagnosticada en la visita 05,binaria,Variable dicotomica (Si/No) que representa una condicion medica ausente o presente.,mantener numerica,,,
THYROID5,Historial o presencia de enfermedad de la tiroides diagnosticada en la visita 05,binaria,Variable dicotomica (Si/No) que representa una condicion medica ausente o presente.,mantener numerica,,,
FIBRUTR5,Historial o presencia de fibromas uterinos diagnosticados en la visita 05,binaria,Variable dicotomica (Si/No) que representa una condicion medica ausente o presente.,mantener numerica,,,
NERVES5,Nivel de nerviosismo o estres auto-reportado (escala de puntuacion acumulada/frecuencia),ordinal,Escala Likert cuantitativa que evalua la frecuencia o intensidad de estados emocionales o de tension.,mantener numerica,,,
SMOKERE5,Estado o historial de consumo de tabaco (Fumador actual/Ex-fumador/Nunca),nominal,Variable categorica de clasificacion de habito tabaquico sin un orden puramente lineal o biologico estricto entre categorias.,mantener numerica codificada,,,
ENERGY5,Nivel de energia percibido por la paciente en las ultimas semanas,ordinal,Escala Likert que evalua de forma gradual e incremental la vitalidad subjetiva de la paciente.,mantener numerica,,,
WORNOUT5,Frecuencia con la que la paciente se siente exhausta o desgastada,ordinal,Escala de intensidad/frecuencia progresiva que mide el agotamiento fisico o mental.,mantener numerica,,,
TIRED5,Frecuencia con la que la paciente se siente cansada,ordinal,Escala clinica ordinal que evalua la persistencia del sintoma de fatiga general.,mantener numerica,,,
STIFF5,Severidad o frecuencia de rigidez en articulaciones o musculos,ordinal,Escala clinica de severidad que cuantifica la progresion del compromiso musculoesqueletico.,mantener numerica,,,
ACHES5,Intensidad o frecuencia de dolores corporales generales,ordinal,Escala clinica de dolor que califica de manera progresiva el nivel de malestar o afectacion somatica.,mantener numerica,,,
COLDSWE5,Frecuencia o severidad de sudores frios reportados,ordinal,Sintoma vasomotor o autonomico evaluado segun escalas de frecuencia/intensidad ordinal.,mantener numerica,,,
NITESWE5,Frecuencia o severidad de sudores nocturnos,ordinal,Sintoma vasomotor clave del climaterio medido incrementalmente segun su impacto o recurrencia.,mantener numerica,,,
VAGINDR5,Presencia o nivel de severidad de sequedad vaginal,ordinal,Sintoma genitourinario de la menopausia clasificado en grados de severidad o molestia.,mantener numerica,,,
