variable,importancia
AGE5,0.2624914509367071
BMI5,0.08847631642231121
HOTFLAS5,0.05260674307201594
GETUPUR5,0.04530093957700473
DESIRSE5,0.03874703583784612
WAKEUP5,0.03574122919998793
PELVIC5,0.03271478402953651
LUBRICN5,0.03245363062502233
RACE,0.032082567076962186
WAKEARL5,0.031503712457925104
BRSTPAI5,0.029678171620527407
ENERGY5,0.02852886524618507
WORNOUT5,0.02748736137854115
VAGINDR5,0.0264303588513753
TIRED5,0.0250540792168732
TRBLSLE5,0.024522224260211667
NITESWE5,0.02416956332444342
FORGET5,0.019297877574156727
FEELBLU5,0.018082636812843625
IRRITAB5,0.017479167942150185
NRVOUS5,0.016699437025546673
SLEEPQL5,0.01653137031101224
MOODCHG5,0.016390856102143598
HBCHOLE5,0.0140331412867558
NERVES5,0.010164600054659216
COLDSWE5,0.008653392263199982
FIBRUTR5,0.008410074734223127
HIGHBP5,0.008365856567883048
ENGAGSE5,0.00790255619194955
